ward_name,forecast,tier,officers_per_shift,month_num
Brixton Windrush Ward,9.119025,Very High,17,1
Friern Barnet Ward,9.095115,Very High,17,1
Roxeth Ward,9.083647,Very High,17,1
St. Paul's Cray Ward,9.045275,High,9,1
Bromley Town Ward,8.989911,High,9,1
South Hampstead Ward,8.989672,High,9,1
Queensbury Ward,8.987954,High,9,1
Nunhead & Queen's Road Ward,8.952102,High,9,1
Leyton Ward,8.944979,High,9,1
Redcliffe Ward,8.910327,High,9,1
Heston West Ward,8.903565,High,9,1
Arsenal Ward,8.883576,High,9,1
Gospel Oak Ward,8.88287,High,9,1
Bedfont Ward,8.877596,High,9,1
Thamesfield Ward,8.752786,High,9,1
Clerkenwell Ward,8.752281,High,9,1
Shaftesbury & Queenstown Ward,8.738753,High,9,1
Harringay Ward,8.713177,High,9,1
Maida Vale Ward,8.70988,High,9,1
Woolwich Arsenal Ward,8.69601,High,9,1
Southall Green Ward,8.695732,High,9,1
Little Venice Ward,8.692455,High,9,1
St. Katharine's & Wapping Ward,8.673347,High,9,1
Gooshays Ward,8.639559,High,9,1
Ladywell Ward,8.638415,High,9,1
Goodmayes Ward,8.6304245,High,9,1
Mildmay Ward,8.617504,High,9,1
Camberwell Green Ward,8.61106,High,9,1
Clissold Ward,8.592943,High,9,1
Bow West Ward,8.580951,High,9,1
High Street Ward,8.535527,High,9,1
St. Mary's Ward,8.532984,High,9,1
St. Mary's & St. James' Ward,8.503492,High,9,1
Custom House Ward,8.500668,High,9,1
Plumstead & Glyndon Ward,8.491839,High,9,1
Ealing Common Ward,8.490862,High,9,1
Earl's Court Ward,8.481793,High,9,1
Colindale South Ward,8.470464,High,9,1
Hoe Street Ward,8.453479,High,9,1
Roundwood Ward,8.44029,High,9,1
Selhurst Ward,8.426301,High,9,1
Tottenham Central Ward,8.399544,High,9,1
Perry Vale Ward,8.374138,High,9,1
Fortune Green Ward,8.369263,High,9,1
Hounslow West Ward,8.349796,High,9,1
Brunswick Park Ward,8.331314,High,9,1
Wanstead Village Ward,8.287075,High,9,1
Golborne Ward,8.270642,High,9,1
East Sheen Ward,8.237818,High,9,1
Ilford Town Ward,8.209352,High,9,1
West Thornton Ward,8.176637,High,9,1
Plaistow South Ward,8.166242,High,9,1
Crystal Palace & Anerley Ward,8.165156,High,9,1
Bridge Ward,8.121314,High,9,1
Herne Hill & Loughborough Junction Ward,8.1158285,High,9,1
Bush Hill Park Ward,8.104061,High,9,1
Purley & Woodcote Ward,8.075294,High,9,1
Blackwall & Cubitt Town Ward,8.071752,High,9,1
Catford South Ward,8.068031,High,9,1
Hammersmith Broadway Ward,8.039687,High,9,1
Kingston Town Ward,8.036671,High,9,1
Surrey Docks Ward,7.994679,High,9,1
Hoxton West Ward,7.982371,High,9,1
Springfield Ward,7.977799,High,9,1
Ealing Broadway Ward,7.9773126,High,9,1
Bromley Common & Holwood Ward,7.936008,High,9,1
Syon & Brentford Lock Ward,7.887218,High,9,1
Feltham West Ward,7.8774333,High,9,1
Beckton Ward,7.8702703,High,9,1
Evelyn Ward,7.8584766,High,9,1
Chiswick Homefields Ward,7.847293,High,9,1
West Hampstead Ward,7.817061,High,9,1
King's Cross Ward,7.790984,High,9,1
Cranford Ward,7.7908206,High,9,1
Barnet Vale Ward,7.7717466,High,9,1
Faraday Ward,7.7526135,High,9,1
South Tottenham Ward,7.7188754,High,9,1
Beckenham Town & Copers Cope Ward,7.6828794,High,9,1
