month,forecast
2025-04-01,3547.630255669308
2025-05-01,3575.6390852253585
2025-06-01,3441.035857332681
2025-07-01,3592.329869599961
2025-08-01,3602.431765829944
2025-09-01,3591.812613505896
2025-10-01,3956.949362950703
2025-11-01,4164.963957246433
2025-12-01,4059.9714673820745
2026-01-01,4115.129986424637
2026-02-01,3662.9068560534233
2026-03-01,3750.5445769120543
