Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3db09cb757f0357fe9f0af40d8edbac1578488e7fdd7d5f406d4ec7ee9ae7292,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3159f5090bb92a8898e288ce9fad964eda4e5d4fe3a71ed7074ce66d94978934,2017-12,Metropolitan Police Service,Metropolitan Police Service,-0.121395,51.335600,On or near PURLEY RISE,E01001029,Croydon 038B,Investigation complete; no suspect identified
5f598575b237cf8984a9233eef7066b8764bb8f4773c08d5bae4a259a36802cf,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
fe0d9e38aef7908702af7ea4ddeae64493acddff291a928066d9d171dd1fd499,2017-12,Metropolitan Police Service,Metropolitan Police Service,-0.124431,51.411385,On or near ROCHE ROAD,E01001089,Croydon 004C,Suspect charged
b5a3e729239a9def99ec93a981eb0419784fe02b189067a2bc09837535fa9170,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
7842c1b00ce09351b88d0e5da1d0ed10c02768adf1be4bfb6891fd9a51a2c0a7,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
eb1e65f3e35931cd8b39e6b8ae694812375f0b415a69a81718f92150bc5576d5,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e0c384a953929dcdf347dca3eb4da158d5bc91dec9aff0780a4e526286992416,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c22d0d04492b45039892f4229a8e4f31284ba0b060149c31f78303476ebd5b6f,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9034f9e7e76d66b56abdb75a03f7eb5a35dd5bb370d6f51fffae2f03c1310e9b,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e02185c0a9c1b3adf27757f3c473d8a3bbcfe917d500e51dca6a32d8a303b1de,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d28d515111fa74179b221848bc9d8efc633bd60c912676a21239a5be545d026a,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
af9608cfc489ce6e7268b155a7d8d181e35d40d7ba31d346b550c5d6ea47b7b8,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bf31d532cfaf9772dd70daf7a8261f78ca278a55874a57b09e4aa935615e024f,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ea1c039b227459a2a610f6f931bfcf88f24a1b7a13416a40ba6afe88123948ae,2017-12,Metropolitan Police Service,Metropolitan Police Service,-0.228155,51.491998,On or near ANGEL WALK,E01001899,Hammersmith and Fulham 013D,Investigation complete; no suspect identified
6bccec06f78016c56b3ae48e6d70e70ce412009a7671f494cf9b6656b44b5158,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
774ea6241254b61e290dd0d521494789f5bc082d23ecacb140fdec68fc08130d,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c02aec2ad3182ef7f8fb53cfd9df81bd2aa6efa251dc1519ab847fb3702a74d5,2017-12,Metropolitan Police Service,Metropolitan Police Service,-0.372879,51.483593,On or near ELDON AVENUE,E01002628,Hounslow 011D,Investigation complete; no suspect identified
d1207350e87c4412f33ec71c7c3b84e3c847f2228dcc72b9b0c762890dfd4ee8,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
94f14243e7cdd052bf04e53a06ece2427fc08a8102cc01bafb8523a7ffe46402,2017-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
