Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dd9648ebe3914a5a4e1517861797af110ad7aa607a426cc16414491105427f65,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.212370,51.494133,On or near MUNDEN STREET,E01001871,Hammersmith and Fulham 012E,Investigation complete; no suspect identified
dd9648ebe3914a5a4e1517861797af110ad7aa607a426cc16414491105427f65,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.212370,51.494133,On or near MUNDEN STREET,E01001871,Hammersmith and Fulham 012E,Investigation complete; no suspect identified
aecc040a233626694d78598f21620c1c264428b7b0062b4b8b79b357d0b14117,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.211599,51.493222,On or near FITZ-GEORGE AVENUE,E01001871,Hammersmith and Fulham 012E,Investigation complete; no suspect identified
96668156bd2d8c9884332a30fd592aff19135e59d14db05626863ea7126f335a,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.209333,51.491488,On or near TREVANION ROAD,E01001872,Hammersmith and Fulham 012F,Offender given a caution
2a16f589d79e0e8cbb7e53c1f10f8e5063ba81270d1528a584846fbf89058dc4,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.214321,51.496932,On or near BLYTHE ROAD,E01001873,Hammersmith and Fulham 010E,Investigation complete; no suspect identified
4c16436102eee124fcfd6b78fc34fdd3c7505dc3fb9fa02cb164fadccc8aef56,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.214321,51.496932,On or near BLYTHE ROAD,E01001873,Hammersmith and Fulham 010E,Offender given a caution
298e4a57a92f55f3d86739f7fec25ef281bc8292c88309ef0dbeaf0a8d420b36,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.126982,51.559579,On or near YERBURY ROAD,E01002785,Islington 008B,Investigation complete; no suspect identified
47448728d59084f7e1e01eb1fe9be6081e83bd7f8747a3fa3282ee298ca847ec,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
4b42dcfe75c190a9d15ca1fd57e0d25910e09355e01cca69e0fc18c8d415cef5,2013-04,Metropolitan Police Service,Metropolitan Police Service,0.067596,51.483560,On or near WILLENHALL ROAD,E01001697,Greenwich 011C,Investigation complete; no suspect identified
5945ad2e8d7b365a8fb459230cd1de2fbecd96b4e46f2c37fc4eb75b53f0ab25,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cb5ac336bdcb778b20cbdef21255a3dc6bbd084d19b8f0f1069422d8a4abd158,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fa686c23d8dc6cf31261738c33fddf7e17e02f12d51cd4e1d0e5e61b9931c495,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
98da32bcde114050112a2161626e95b1417b061d2b719b6c0ec61717df8c51cd,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
60377a52c648731863ad3d4c6613a865219dc4894aa7e89b787cd5972c0220e7,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.290868,51.398140,On or near HILL CRESCENT,E01002992,Kingston upon Thames 010D,Investigation complete; no suspect identified
a9e8ea041aa498ec1efb1720a29286085b83b60bdc4f5246bf7e0411759c94ca,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
0cf32ea5778e782df835ad2c384bf25200496b7c2c8c75554c5d5b7331d83d8e,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
30481b42dea7ae54d8a8eae8347841cb92925d32c80284e88300568b04f66437,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.028210,51.582042,On or near SOUTH GROVE,E01004392,Waltham Forest 017A,Offender given penalty notice
b418f871ad6ed6fcc22006c590790a2918ce70f053f6208eda6760fbc4781fbb,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.412874,51.571077,On or near SUNNYDENE AVENUE,E01002469,Hillingdon 010D,Investigation complete; no suspect identified
99638c3d6065e7908fc17c80b88fb8b6797d1fce583ec586b0c6bc5e6b11c430,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.203025,51.547855,On or near GARLINGE ROAD,E01000876,Camden 013B,Offender given a caution
5016764ec4a01704ef5fa0ad086981194d7a6a07e97e32b065418661fbbd30b5,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
aa023d424715da2169ff2f892af08a45289bfe4f07455064561ee03eea2603c5,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2eabb2b0470aefd57023b67592204692c59cdc618deba3063b108810544e10c3,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
81e188fdff21f57e686b2bab60d92b2b529d7a0803a6ca1a86e2d6abbe6c93f5,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
011304be2325b04402012641bea748d7fcd217bf479a55011418806dd0e9524e,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cfcfa530976732537664e0706abe82c2139d17f2ad6400b0d59e835bff0e6335,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.268937,51.460792,On or near WAYSIDE,E01003805,Richmond upon Thames 012A,Investigation complete; no suspect identified
9c45d782c5ee2d807bc45d6f32fd15bf7dd951c347f627709d14d6414293c37e,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.395856,51.561809,On or near CROSSWAY,E01002416,Hillingdon 008A,Investigation complete; no suspect identified
c36f6e7c980b0926bff57ed4b8e342d66724dfa38a710ffe394f29af0c9ef064,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fcb1710c12c5b4adcb381f6bfaba9dec344b0af8619b094adcd100d3cda82d86,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4eec23b7b5f3677780bb1c9e836411b0cb73246044abd0f7020c4f068ea3cd53,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.056538,51.505350,On or near CLEGG STREET,E01004296,Tower Hamlets 026D,Investigation complete; no suspect identified
a535715515e4980e315e6782075bd148b152ea39c1fdda2f6b8e4d8d3e6fa3c0,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
ffeeffa7dd3aa0167f2bd7082de5ad24428dfec4e39bc6cb9bdb484e260aa7f5,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
072215bf5bfe6341743c92dfb47a58316b44e66728118c902f35ecc7ec139bde,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
863b16a908fde492772f353c1ca73f8b4adc0cc50ce18feb49c4bb754c435e5d,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e40a7cd585aca27936e8f1bd8adecdeddf0c74c94d5e3c02b4820273768dd3c9,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
1d7d3723b71dea67ef0a4f5d774a2c241923dfd89780310ad694df990cba3b96,2013-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cee2ccd34773d3f38c0a7a6d4871103dc4bd532610e31dd24795ba179fadf24f,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.228794,51.513059,On or near DORANDO CLOSE,E01001874,Hammersmith and Fulham 001A,Offender given penalty notice
5dd08f25034e14b3e45b6a8d949b417ab81b389ac64fa679b333bbff544522a2,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.233799,51.524870,On or near SCRUBS LANE,E01001874,Hammersmith and Fulham 001A,Suspect charged
571863d8c3022a2706091711411ceaf11853d0634554e54a7eb157c6e788386b,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.226009,51.516839,On or near SHINFIELD STREET,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
2756cd167a4920f23236e4c79d7ecb0f6a55bd8c7ef4825a3413347a3ed928da,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.226202,51.512625,On or near SOUTH AFRICA ROAD,E01001874,Hammersmith and Fulham 001A,Suspect charged
30a100ea59f585fcfa355239df94bab18b72ad50fddc2f7049a90e2f03998131,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.227888,51.513360,On or near Supermarket,E01001874,Hammersmith and Fulham 001A,Suspect charged
53fc402287b91b49f01a16905029916344db953c4424f6ed1ddf7f6eafdc73a1,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.227888,51.513360,On or near Supermarket,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
dda0160b1fbc3c732dac1b953535ac305121876ea79690ad9ef4bee4349ee488,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.228336,51.520390,On or near Petrol Station,E01001874,Hammersmith and Fulham 001A,Offender given a drugs possession warning
9726b976266be01bb8a91ba1cbbc2b5a153bb22ec3d2317b767c51bbc57673f8,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.227888,51.513360,On or near Supermarket,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
bb7f36ff2f63e498870ee3adc0c9d6ce6365a06377450a64f531d5818cabae63,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.224632,51.512232,On or near Petrol Station,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
6bbb752c5dfe70742f32497b01e90546c0db4302d743b112d8690e428d595f54,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.226635,51.511876,On or near WHITE CITY CLOSE,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
6be0babacaf1332478fffe391ed9689d0c374ea9888c0963dae11a83d9698367,2013-04,Metropolitan Police Service,Metropolitan Police Service,-0.230796,51.515311,On or near TERRICK STREET,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
