Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b4190c7a6776f5cebe7e68299e990342827830fc6a578053bbfd27e011b888db,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.349265,51.482247,On or near OSTERLEY AVENUE,E01002676,Hounslow 012E,Investigation complete; no suspect identified
64ccb95b09bbf70f019e25a95eefd6ff62cc4d83adcc9415fa7c7535f9fd1563,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.078309,51.426942,On or near WICKERS OAKE,E01003948,Southwark 033D,Investigation complete; no suspect identified
e7c825b6e74356efc6a5c5a2c674cd45dce5f91bf25a1b25049596e043de680b,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.340880,51.444612,On or near THE GREEN,E01003885,Richmond upon Thames 016D,Investigation complete; no suspect identified
849fb27b9e5ce178e8576c9b51f2c079b665c89ae84f0ed232177da2530090fd,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9b74fd461e75b48fd1a84cbdd1ef252b3b9b28bad067b06c639cb109f846a90c,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6fd15a30879c3849fd5ebbc3a155ce05face5609420eb5ef560222ed052d8562,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2b54ff8a5719342653013c0a69ef322d9687ec9527c7b7dea4bb00f52ad12961,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.142998,51.539681,On or near Nightclub,E01000863,Camden 021A,Offender given a drugs possession warning
47a94aa2d252fae3d6a68e2b603d5053d1cc220e3357b7f4bf1543c02799c3be,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
f65424fb95bd33cf0bb271c6e5cc297523cf6505e36759e894ed70931d6291bd,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
38e4b8793ba17747381f618d9be21a861eb563063b2f00039c8ed962c7909ff6,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cc90864a269ba0def0f49e096505fb8643d2c35bfe1892b75668fc61f23c4aeb,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
c4b9b828cf2d6dc4b42180ba2425f7a41ec2c7a0914102ce20413e3752dca200,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
4c5cae2a7940220b498913195282b50e3a14919bc22e6cbc371141b1da838ee1,2017-09,Metropolitan Police Service,Metropolitan Police Service,0.022310,51.534915,On or near STOPFORD ROAD,E01003598,Newham 021A,Investigation complete; no suspect identified
3a71940bec470c6b9ae093a268bb31809c127f730cdefab9a64b393cbc10ab63,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.217276,51.485800,On or near LURGAN AVENUE,E01001890,Hammersmith and Fulham 016C,Investigation complete; no suspect identified
ba5577a3e3d93791d7dd45d43176f71b05e6af09d2c6daff3ac40b5b0a95d1b5,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.203554,51.523790,On or near HORMEAD ROAD,E01004679,Westminster 005E,Offender given a drugs possession warning
23e92aa36b7001acb1b7c373e2d30c92c55a57efbdddc2a4016f313a6d992ed9,2017-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
674990401a3f81a693041adae42b8db5bfea48f1adf7234c9b9b343d3ad2e830,2017-09,Metropolitan Police Service,Metropolitan Police Service,-0.191760,51.403298,On or near A24,E01003439,Merton 023C,Investigation complete; no suspect identified
