Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5ec339f8ba796c146e2701371f52716172c1338a59bc95f3df3acfeab50892d2,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ad3b2faab5e78a6e664d93a16840c2efe316767d0ea7227b11051e4bc97ddc3d,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
475319164dffe4586f28561b643cc67120a2d91115e29a4beda429c6c0959e50,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
d1de3648247ca81c8e0de314e30b8ed5bdba4e322162f13db9480ce871b205ec,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9d9c3a0b4b3584c54e0acbc3d344acef5224ca2436af478461559b6a9ad98bb9,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
6de7f32ec5f99ddbcd66e2c5560bb611cf342eda256b099168ad9945f65eade4,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c1f65ed32bcc73954f519da889842dc9cf28643db1b9e054710dde4b27ff2a9a,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
107bcd3686f0b84a84a08a5abad510eddcb1996c885a1a7a814d6f9b50b431f3,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5fe24b6095eec30624c7478d6ff53e78553c51a1d7affd46d847f4869322ad85,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fd659c6ea9bc0e3bef2468becacd3099e4097d2f1c265ab5bc29e68b264ea8b8,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bd9d552a38735b47ccf8eac071fbb40c87e38efe36da55e517992c0593ecc62d,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
7f8e94f878e06b47dc7d1ed98257d63bca3253e73f4b77c120cba1787c0292c5,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
1bcde14d5b559617370bcece3719e898e7d9e7ef7997fb1c361694702815278e,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a4b6e8642c072352468335f09e72df7139463ba1822a46ab5b0ea0d6aa1a075e,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ab91e5eeded6f4b4c29e810bd5b369bb60514202c7e384774432d68717e69485,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
947fd852b19062c7e0903a4ac07956a50ea7a4a54ef5cde3c4c516f3c35ce2ce,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f097d4f4c7f05efdab0aabd4a800c38c2c94df652bae4d5e47cdf96a16d4e316,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
51673a78826d965ffeafe0fd8eab8628d289e5f8327e4ab5154cfc1759cc5bef,2017-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
